Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
0.0067,44744704,44744704,0.34,86552576,86552576,0,42610688,3.6,4,3.2,828956672,828956672,828956672,8126898176,8126898176,8126898176
0.0067,44744704,44744704,0.22,86601728,86601728,0,42610688,3.1,3.6,2.6,829214720,829214720,829214720,8126898176,8126898176,8126898176
0.0069,44744704,44744704,0.2,86601728,86601728,0,42610688,3.6,3.4,3.8,829988864,829988864,829988864,8126898176,8126898176,8126898176
0.9,44744704,44744704,0.8,86630400,86630400,0,42610688,13,10,17,828956672,828956672,828956672,8126898176,8126898176,8126898176
4,44744704,44744704,1.8,86687744,86687744,11,48214016,21,21,21,828698624,828698624,828698624,8126898176,8126898176,8126898176
6.4,44744704,44744704,3,86945792,86945792,17,48214016,25,27,24,828956672,828956672,828956672,8126898176,8126898176,8126898176
6.8,44744704,44744704,4.4,86884352,86884352,13,48218112,26,30,23,828923904,828923904,828923904,8126898176,8126898176,8126898176
8,44744704,44744704,4.2,87093248,87093248,9.5,48218112,28,27,29,828923904,828923904,828923904,8126898176,8126898176,8126898176
8.4,44744704,44744704,3.6,87052288,87052288,12,48218112,24,21,26,828923904,828923904,828923904,8126898176,8126898176,8126898176
7.2,44744704,44744704,3.7,87023616,87023616,12,48218112,24,25,23,828923904,828923904,828923904,8126898176,8126898176,8126898176
6.8,44744704,44744704,3.4,86966272,86966272,9.8,48218112,25,28,23,829181952,829181952,829181952,8126898176,8126898176,8126898176
6.8,44744704,44744704,3.4,87199744,87199744,12,48218112,23,21,25,828923904,828923904,828923904,8126898176,8126898176,8126898176
6.5,44744704,44744704,3.7,87166976,87166976,11,48218112,25,25,25,829181952,829181952,829181952,8126898176,8126898176,8126898176
7.1,44744704,44744704,3.6,87269376,87269376,11,48218112,24,24,24,829956096,829956096,829956096,8126898176,8126898176,8126898176
6.3,44744704,44744704,4.3,87461888,87461888,11,48218112,26,28,24,828923904,828923904,828923904,8126898176,8126898176,8126898176
5.8,44744704,44744704,4.2,87461888,87461888,9.8,48218112,24,23,25,829181952,829181952,829181952,8126898176,8126898176,8126898176
6.3,44744704,44744704,3.2,87400448,87400448,10,48218112,23,23,23,828923904,828923904,828923904,8126898176,8126898176,8126898176
6.7,44744704,44744704,3.7,87580672,87580672,12,48218112,22,19,25,828923904,828923904,828923904,8126898176,8126898176,8126898176
7.4,44744704,44744704,4.4,87695360,87695360,12,48218112,28,28,28,829181952,829181952,829181952,8126898176,8126898176,8126898176
7.8,44744704,44744704,4.5,87728128,87728128,13,48218112,29,31,27,829181952,829181952,829181952,8126898176,8126898176,8126898176
6.9,44744704,44744704,4.4,87851008,87851008,12,48218112,25,30,21,829181952,829181952,829181952,8126898176,8126898176,8126898176
6.9,44744704,44744704,4,87961600,87961600,11,48218112,25,24,26,829960192,829960192,829960192,8126898176,8126898176,8126898176
5.4,44744704,44744704,2.7,88076288,88076288,11,48218112,15,18,12,828928000,828928000,828928000,8126898176,8126898176,8126898176
1.2,44744704,44744704,1.1,88080384,88080384,7.9,42659840,7.6,11,4.6,828928000,828928000,828928000,8126898176,8126898176,8126898176
0.0086,44744704,44744704,0.32,88080384,88080384,3,42524672,2.9,2.6,3.2,829943808,829943808,829943808,8126898176,8126898176,8126898176
0.0064,44744704,44744704,0.2,88096768,88096768,0,42524672,3.9,3.6,4.2,828911616,828911616,828911616,8126898176,8126898176,8126898176
0.0064,44744704,44744704,0.22,88096768,88096768,0,42524672,3.1,3.4,2.8,829169664,829169664,829169664,8126898176,8126898176,8126898176
0.0069,44744704,44744704,0.21,88096768,88096768,0,42524672,3.9,4.2,3.6,828653568,828653568,828653568,8126898176,8126898176,8126898176
0.0072,44744704,44744704,0.19,88096768,88096768,0,42524672,2.9,2.6,3.2,828911616,828911616,828911616,8126898176,8126898176,8126898176
1.6,44744704,44744704,1.1,88150016,88150016,3.2,48402432,19,23,15,828911616,828911616,828911616,8126898176,8126898176,8126898176
5.1,44744704,44744704,3,88342528,88342528,14,48402432,25,24,26,828911616,828911616,828911616,8126898176,8126898176,8126898176
6.2,44744704,44744704,3.6,88313856,88313856,14,48406528,26,26,26,828911616,828911616,828911616,8126898176,8126898176,8126898176
5.7,44744704,44744704,3.4,88150016,88150016,15,48406528,27,31,24,828911616,828911616,828911616,8126898176,8126898176,8126898176
6.8,44744704,44744704,3.4,88223744,88223744,18,48406528,26,24,29,828653568,828653568,828653568,8126898176,8126898176,8126898176
7.2,44744704,44744704,3.6,88195072,88195072,13,48406528,26,27,26,828911616,828911616,828911616,8126898176,8126898176,8126898176
6.3,44744704,44744704,4.1,88301568,88301568,15,48406528,27,24,30,828911616,828911616,828911616,8126898176,8126898176,8126898176
6.9,44744704,44744704,3.8,88518656,88518656,14,48406528,23,24,22,828911616,828911616,828911616,8126898176,8126898176,8126898176
5.9,44744704,44744704,3.4,88616960,88616960,11,48406528,26,24,28,828907520,828907520,828907520,8126898176,8126898176,8126898176
5.9,44744704,44744704,3.8,88629248,88629248,15,48406528,24,19,28,828907520,828907520,828907520,8126898176,8126898176,8126898176
7.1,44744704,44744704,4.1,88694784,88694784,15,48406528,25,24,27,828907520,828907520,828907520,8126898176,8126898176,8126898176
6,44744704,44744704,3.5,88842240,88842240,14,48406528,24,27,21,829681664,829681664,829681664,8126898176,8126898176,8126898176
5.4,44744704,44744704,3.4,88932352,88932352,16,48406528,28,29,28,828907520,828907520,828907520,8126898176,8126898176,8126898176
5.8,44744704,44744704,3.9,88899584,88899584,14,48406528,23,26,20,829165568,829165568,829165568,8126898176,8126898176,8126898176
6.8,44744704,44744704,3.7,89210880,89210880,12,48406528,27,26,28,828907520,828907520,828907520,8126898176,8126898176,8126898176
6.2,44744704,44744704,3.8,89067520,89067520,14,48406528,28,27,29,828907520,828907520,828907520,8126898176,8126898176,8126898176
7,44744704,44744704,4.5,89313280,89313280,16,48406528,28,31,25,828907520,828907520,828907520,8126898176,8126898176,8126898176
7.5,44744704,44744704,4.4,89305088,89305088,15,48406528,26,28,24,828649472,828649472,828649472,8126898176,8126898176,8126898176
6.1,44744704,44744704,4,89997312,89997312,12,48406528,24,26,23,828907520,828907520,828907520,8126898176,8126898176,8126898176
3.8,44744704,44744704,2.6,89972736,89972736,15,42713088,15,23,8.4,829165568,829165568,829165568,8126898176,8126898176,8126898176
0.98,44744704,44744704,0.58,89886720,89886720,8.7,42713088,3.8,3.4,4.2,829165568,829165568,829165568,8126898176,8126898176,8126898176
0.0071,44744704,44744704,0.17,89886720,89886720,0,42713088,3.1,3.6,2.6,828907520,828907520,828907520,8126898176,8126898176,8126898176
0.0069,44744704,44744704,0.21,89886720,89886720,0,42713088,4,4.4,3.6,828907520,828907520,828907520,8126898176,8126898176,8126898176
0.0077,44744704,44744704,0.21,89886720,89886720,0,42713088,3,2.8,3.2,830193664,830193664,830193664,8126898176,8126898176,8126898176
0.008,44744704,44744704,0.22,89886720,89886720,0,42713088,3.8,3.8,3.8,829161472,829161472,829161472,8126898176,8126898176,8126898176
0.16,44744704,44744704,0.39,89759744,89759744,3,48607232,6.8,9.8,3.8,829161472,829161472,829161472,8126898176,8126898176,8126898176
4.2,44744704,44744704,1.6,89821184,89821184,13,48607232,25,27,24,828903424,828903424,828903424,8126898176,8126898176,8126898176
8.6,44744704,44744704,2.6,90009600,90009600,16,48607232,31,32,30,829161472,829161472,829161472,8126898176,8126898176,8126898176
7.9,44744704,44744704,3.7,90206208,90206208,15,48607232,29,28,30,828903424,828903424,828903424,8126898176,8126898176,8126898176
7.6,44744704,44744704,4.1,90021888,90021888,17,48607232,27,29,26,829161472,829161472,829161472,8126898176,8126898176,8126898176
9.4,44744704,44744704,4.2,90587136,90587136,18,48607232,32,31,34,828903424,828903424,828903424,8126898176,8126898176,8126898176
8.2,44744704,44744704,4,90615808,90615808,15,48607232,28,35,20,828936192,828936192,828936192,8126898176,8126898176,8126898176
6.3,44744704,44744704,3.1,90824704,90824704,16,48607232,27,29,24,829710336,829710336,829710336,8126898176,8126898176,8126898176
6.8,44744704,44744704,3.4,90906624,90906624,21,48607232,27,34,21,828936192,828936192,828936192,8126898176,8126898176,8126898176
6.5,44744704,44744704,3.8,91160576,91160576,16,48607232,27,25,28,828936192,828936192,828936192,8126898176,8126898176,8126898176
6.6,44744704,44744704,3.9,90857472,90857472,15,48607232,26,20,31,828936192,828936192,828936192,8126898176,8126898176,8126898176
7,44744704,44744704,3.5,91013120,91013120,21,48607232,29,22,35,828936192,828936192,828936192,8126898176,8126898176,8126898176
6.6,44744704,44744704,3.9,91172864,91172864,18,48607232,27,28,26,828936192,828936192,828936192,8126898176,8126898176,8126898176
5.8,44744704,44744704,3.9,91152384,91152384,14,48607232,29,28,31,829194240,829194240,829194240,8126898176,8126898176,8126898176
5.3,44744704,44744704,2.9,91344896,91344896,20,48607232,23,21,25,828936192,828936192,828936192,8126898176,8126898176,8126898176
6.6,44744704,44744704,3.2,91484160,91484160,18,48607232,28,33,24,828936192,828936192,828936192,8126898176,8126898176,8126898176
7.4,44744704,44744704,4.1,91459584,91459584,16,48607232,31,34,29,829710336,829710336,829710336,8126898176,8126898176,8126898176
6.9,44744704,44744704,4.5,92037120,92037120,19,48607232,29,34,24,829194240,829194240,829194240,8126898176,8126898176,8126898176
