Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
3,44711936,44711936,2,80560128,80560128,5.7,51613696,13,12,14,829239296,829239296,829239296,8126898176,8126898176,8126898176
2.7,44711936,44711936,1.8,80588800,80588800,5.4,51613696,13,11,15,828981248,828981248,828981248,8126898176,8126898176,8126898176
2.6,44711936,44711936,1.5,80744448,80744448,5,51613696,12,14,9.2,829239296,829239296,829239296,8126898176,8126898176,8126898176
3,44711936,44711936,1.6,80900096,80900096,5.5,51613696,14,17,11,830267392,830267392,830267392,8126898176,8126898176,8126898176
2.7,44711936,44711936,2.1,80580608,80580608,5.4,51613696,12,12,13,828977152,828977152,828977152,8126898176,8126898176,8126898176
2.8,44711936,44711936,2,80617472,80617472,4.3,51613696,13,11,16,828977152,828977152,828977152,8126898176,8126898176,8126898176
2.2,44711936,44711936,1.3,80728064,80728064,7.7,51613696,8.4,6.4,10,829751296,829751296,829751296,8126898176,8126898176,8126898176
0.88,44711936,44711936,0.7,80838656,80838656,5.8,47017984,7.4,6,8.8,829235200,829235200,829235200,8126898176,8126898176,8126898176
0.29,44711936,44711936,0.28,80711680,80711680,0.046,47009792,3,3.2,2.8,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.003,44711936,44711936,0.21,80711680,80711680,0,47009792,3.9,3.6,4.2,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0044,44711936,44711936,0.25,80809984,80809984,0,47009792,2.9,2.4,3.4,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.0081,44711936,44711936,0.22,80711680,80711680,0,47009792,4,4.2,3.8,828977152,828977152,828977152,8126898176,8126898176,8126898176
0.011,44711936,44711936,0.24,80764928,80764928,0,47009792,3.4,3.2,3.6,829235200,829235200,829235200,8126898176,8126898176,8126898176
0.29,44711936,44711936,0.46,81027072,81027072,3,52887552,8,5.2,11,828977152,828977152,828977152,8126898176,8126898176,8126898176
1.6,44711936,44711936,0.98,80928768,80928768,7.4,52887552,15,11,18,829235200,829235200,829235200,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.8,80867328,80867328,7.4,52887552,17,20,13,829751296,829751296,829751296,8126898176,8126898176,8126898176
2.9,44711936,44711936,2.1,80912384,80912384,8.6,52887552,12,12,13,829501440,829501440,829501440,8126898176,8126898176,8126898176
2.6,44711936,44711936,1.7,80941056,80941056,9.2,52887552,15,15,14,828977152,828977152,828977152,8126898176,8126898176,8126898176
3,44711936,44711936,1.8,80920576,80920576,9.4,52891648,16,19,13,828977152,828977152,828977152,8126898176,8126898176,8126898176
3,44711936,44711936,1.8,80822272,80822272,8.8,52891648,13,11,16,828977152,828977152,828977152,8126898176,8126898176,8126898176
2.6,44711936,44711936,1.6,80982016,80982016,8.7,52891648,15,17,13,828977152,828977152,828977152,8126898176,8126898176,8126898176
2.9,44711936,44711936,1.8,81018880,81018880,8.8,52891648,13,12,15,829751296,829751296,829751296,8126898176,8126898176,8126898176
3.1,44711936,44711936,2,80982016,80982016,8.9,52891648,17,13,20,829235200,829235200,829235200,8126898176,8126898176,8126898176
3.3,44711936,44711936,2,81010688,81010688,8.4,52891648,16,13,20,828977152,828977152,828977152,8126898176,8126898176,8126898176
3.4,44711936,44711936,2,81199104,81199104,8,52891648,14,13,16,828977152,828977152,828977152,8126898176,8126898176,8126898176
2.9,44711936,44711936,2,81231872,81231872,8.3,52891648,16,17,14,828977152,828977152,828977152,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.9,81367040,81367040,11,52891648,17,13,21,828977152,828977152,828977152,8126898176,8126898176,8126898176
2.7,44711936,44711936,1.9,81518592,81518592,11,52891648,14,11,16,829235200,829235200,829235200,8126898176,8126898176,8126898176
2.9,44711936,44711936,1.7,81252352,81252352,8.8,52891648,15,17,13,829235200,829235200,829235200,8126898176,8126898176,8126898176
2.9,44711936,44711936,2,81223680,81223680,8.7,52891648,13,12,15,829235200,829235200,829235200,8126898176,8126898176,8126898176
2.5,44711936,44711936,1.9,81248256,81248256,7.7,52891648,14,16,13,828977152,828977152,828977152,8126898176,8126898176,8126898176
2.6,44711936,44711936,1.6,81272832,81272832,8.8,52891648,15,16,14,829235200,829235200,829235200,8126898176,8126898176,8126898176
2.3,44711936,44711936,1.4,81248256,81248256,7,52891648,11,11,11,830009344,830009344,830009344,8126898176,8126898176,8126898176
1.3,44711936,44711936,1.1,81223680,81223680,5.9,47390720,8.3,12,5,828960768,828960768,828960768,8126898176,8126898176,8126898176
0.36,44711936,44711936,0.47,81309696,81309696,2.9,47312896,3,3.4,2.6,829218816,829218816,829218816,8126898176,8126898176,8126898176
0.011,44711936,44711936,0.21,81235968,81235968,0,47312896,3.6,3.2,4,828960768,828960768,828960768,8126898176,8126898176,8126898176
0.0071,44711936,44711936,0.29,81428480,81428480,0,47312896,3.5,3.2,3.8,829218816,829218816,829218816,8126898176,8126898176,8126898176
0.0053,44711936,44711936,0.32,81301504,81301504,0,47312896,3.7,3.4,4,829218816,829218816,829218816,8126898176,8126898176,8126898176
0.0073,44711936,44711936,0.22,81432576,81432576,0,47312896,2.8,3,2.6,828960768,828960768,828960768,8126898176,8126898176,8126898176
0.18,44711936,44711936,0.24,81317888,81317888,3,53231616,7.6,9.8,5.4,828960768,828960768,828960768,8126898176,8126898176,8126898176
1.7,44711936,44711936,0.73,81465344,81465344,9.3,53219328,14,17,11,828993536,828993536,828993536,8126898176,8126898176,8126898176
3.8,44711936,44711936,1.7,81518592,81518592,10,53219328,19,21,16,829251584,829251584,829251584,8126898176,8126898176,8126898176
4.1,44711936,44711936,2,81530880,81530880,9.9,53219328,16,22,10,829251584,829251584,829251584,8126898176,8126898176,8126898176
3.7,44711936,44711936,1.7,81612800,81612800,12,53219328,17,23,11,828993536,828993536,828993536,8126898176,8126898176,8126898176
3.4,44711936,44711936,1.9,81588224,81588224,12,53219328,18,15,20,828993536,828993536,828993536,8126898176,8126898176,8126898176
3.9,44711936,44711936,1.9,81747968,81747968,12,53219328,18,23,13,828993536,828993536,828993536,8126898176,8126898176,8126898176
3.9,44711936,44711936,1.6,81727488,81727488,12,53219328,16,17,16,828993536,828993536,828993536,8126898176,8126898176,8126898176
3.6,44711936,44711936,1.7,81752064,81752064,12,53219328,17,18,15,829251584,829251584,829251584,8126898176,8126898176,8126898176
4.7,44711936,44711936,2,81874944,81874944,11,53219328,20,20,19,828989440,828989440,828989440,8126898176,8126898176,8126898176
4.3,44711936,44711936,2,82022400,82022400,14,53219328,17,19,15,829247488,829247488,829247488,8126898176,8126898176,8126898176
3.7,44711936,44711936,1.9,81735680,81735680,11,53219328,18,22,15,828989440,828989440,828989440,8126898176,8126898176,8126898176
4.2,44711936,44711936,1.9,81768448,81768448,8.9,53219328,18,22,15,828989440,828989440,828989440,8126898176,8126898176,8126898176
4.3,44711936,44711936,1.8,81805312,81805312,11,53219328,16,22,11,828989440,828989440,828989440,8126898176,8126898176,8126898176
3.6,44711936,44711936,1.9,81924096,81924096,12,53219328,17,16,18,829247488,829247488,829247488,8126898176,8126898176,8126898176
3,44711936,44711936,1.7,81948672,81948672,12,53219328,16,13,18,829763584,829763584,829763584,8126898176,8126898176,8126898176
3,44711936,44711936,1.7,81858560,81858560,12,53219328,16,16,16,828989440,828989440,828989440,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.8,81993728,81993728,11,53219328,16,17,15,828989440,828989440,828989440,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.6,82124800,82124800,11,53219328,17,14,21,828989440,828989440,828989440,8126898176,8126898176,8126898176
3.1,44711936,44711936,1.7,81989632,81989632,11,53219328,14,10,18,829247488,829247488,829247488,8126898176,8126898176,8126898176
2.1,44711936,44711936,1.2,81981440,81981440,11,47288320,11,7.4,14,828989440,828989440,828989440,8126898176,8126898176,8126898176
0.52,44711936,44711936,0.64,82165760,82165760,6,47104000,3.7,4.4,3,829247488,829247488,829247488,8126898176,8126898176,8126898176
0.0052,44711936,44711936,0.28,82165760,82165760,0,47104000,3.8,4,3.6,828989440,828989440,828989440,8126898176,8126898176,8126898176
0.0067,44711936,44711936,0.22,82268160,82268160,0,47104000,3,3,3,828989440,828989440,828989440,8126898176,8126898176,8126898176
0.011,44711936,44711936,0.22,82165760,82165760,0,47104000,4.1,4,4.2,829505536,829505536,829505536,8126898176,8126898176,8126898176
0.0042,44711936,44711936,0.22,82268160,82268160,0,47104000,3.4,4,2.8,828989440,828989440,828989440,8126898176,8126898176,8126898176
0.26,44711936,44711936,0.23,82165760,82165760,2,51900416,4.3,3.8,4.8,829247488,829247488,829247488,8126898176,8126898176,8126898176
1.4,44711936,44711936,0.75,82444288,82444288,10,52973568,16,10,21,828989440,828989440,828989440,8126898176,8126898176,8126898176
3.7,44711936,44711936,1.6,82227200,82227200,14,52977664,23,22,24,829247488,829247488,829247488,8126898176,8126898176,8126898176
4.6,44711936,44711936,1.7,82243584,82243584,12,52977664,16,22,10,828989440,828989440,828989440,8126898176,8126898176,8126898176
3.8,44711936,44711936,1.6,82161664,82161664,15,52977664,20,18,22,829247488,829247488,829247488,8126898176,8126898176,8126898176
3.8,44711936,44711936,1.9,82165760,82165760,15,52977664,17,13,21,829247488,829247488,829247488,8126898176,8126898176,8126898176
4.2,44711936,44711936,1.9,82288640,82288640,15,52977664,20,19,20,829239296,829239296,829239296,8126898176,8126898176,8126898176
3.8,44711936,44711936,1.9,82444288,82444288,14,52977664,17,13,20,829239296,829239296,829239296,8126898176,8126898176,8126898176
3.4,44711936,44711936,1.7,82595840,82595840,16,52977664,18,13,23,828981248,828981248,828981248,8126898176,8126898176,8126898176
4.1,44711936,44711936,1.8,82632704,82632704,16,52977664,22,19,24,829239296,829239296,829239296,8126898176,8126898176,8126898176
4.2,44711936,44711936,2.2,82567168,82567168,12,52977664,18,20,16,829239296,829239296,829239296,8126898176,8126898176,8126898176
3.6,44711936,44711936,2.1,82427904,82427904,12,52977664,20,19,20,829239296,829239296,829239296,8126898176,8126898176,8126898176
3.9,44711936,44711936,1.7,82415616,82415616,15,52977664,17,12,23,828948480,828948480,828948480,8126898176,8126898176,8126898176
3.1,44711936,44711936,1.9,82546688,82546688,14,52977664,20,14,25,828948480,828948480,828948480,8126898176,8126898176,8126898176
3,44711936,44711936,2,82501632,82501632,16,52977664,16,13,19,829206528,829206528,829206528,8126898176,8126898176,8126898176
