Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
3.3,42336256,1.9,86814720,13,11,15,824700928,8346394624,24,24,24,860114944,8126898176
1.1,42336256,1.1,86822912,11,14,8,825991168,8346394624,6.3,6.2,6.4,859815936,8126898176
0.013,42336256,0.57,86925312,4.3,4.4,4.2,825790464,8346394624,2.8,3.2,2.4,859815936,8126898176
0.01,42336256,0.23,86831104,4.3,3.6,5,825532416,8346394624,2.4,2.2,2.6,860332032,8126898176
0.005,42336256,0.23,86933504,3.9,3.4,4.4,825790464,8346394624,2.8,2.6,3,859041792,8126898176
0.01,42336256,0.26,86831104,5.7,7.2,4.2,826249216,8346394624,2.3,2.4,2.2,858783744,8126898176
0.092,42336256,0.27,86933504,4.2,3.4,5,826765312,8346394624,3,3,3,858525696,8126898176
1.4,42336256,0.37,86962176,4.4,5,3.8,826245120,8346394624,2.6,2.8,2.4,858263552,8126898176
4.6,42995712,0.68,86937600,6.9,6.8,7,826167296,8346394624,5.7,5.2,6.2,858013696,8126898176
5,42995712,1.6,86908928,17,16,17,824573952,8346394624,25,26,25,860131328,8126898176
3.6,42995712,2.3,87093248,17,15,20,825286656,8346394624,25,25,26,862199808,8126898176
5,42995712,2,87166976,21,24,18,825700352,8346394624,19,19,19,861691904,8126898176
5.1,42995712,2,87068672,16,17,14,826023936,8346394624,25,25,25,861896704,8126898176
4.7,42995712,2.1,87093248,17,14,20,825393152,8346394624,28,28,28,862187520,8126898176
4.3,42995712,1.9,87007232,19,19,19,825819136,8346394624,19,19,19,866844672,8126898176
5.9,43028480,2.1,87166976,17,18,16,827260928,8346394624,24,24,24,866959360,8126898176
7.3,43032576,2.4,86933504,18,20,17,828485632,8346394624,28,28,27,864296960,8126898176
5.4,43073536,2.2,87080960,22,22,23,831774720,8346394624,20,20,19,863490048,8126898176
4.5,43073536,2.1,87044096,19,18,20,827559936,8346394624,24,24,24,863440896,8126898176
5.5,43171840,2.1,87068672,17,17,17,827162624,8346394624,27,27,27,864202752,8126898176
5.7,43249664,2.1,87232512,21,18,23,827400192,8346394624,20,20,20,864268288,8126898176
4.1,43253760,2,87379968,18,20,16,828276736,8346394624,23,23,24,864518144,8126898176
4.2,43307008,2.1,87408640,16,14,19,829014016,8346394624,27,26,28,864948224,8126898176
5.1,43372544,2.1,87429120,22,21,24,824774656,8346394624,21,21,21,865546240,8126898176
5.2,43692032,2.1,87339008,18,19,18,826384384,8346394624,26,25,27,864735232,8126898176
4.5,43638784,2.2,87363584,17,18,15,824807424,8346394624,26,26,26,865869824,8126898176
4.1,43724800,2.1,87449600,20,20,21,825212928,8346394624,22,22,22,865103872,8126898176
4.3,43958272,1.8,87470080,19,15,23,824451072,8346394624,24,23,24,865320960,8126898176
4.2,44011520,1.5,87490560,15,12,18,824659968,8346394624,26,26,26,865103872,8126898176
5.4,44367872,1.8,87519232,22,18,27,825380864,8346394624,22,22,21,865136640,8126898176
5.3,44535808,2.2,87818240,19,16,21,826281984,8346394624,25,24,25,864419840,8126898176
4.5,44437504,2.2,87842816,16,13,18,828043264,8346394624,26,25,26,864403456,8126898176
5.3,44445696,2,87891968,21,23,20,825454592,8346394624,22,22,22,864735232,8126898176
5.2,44457984,2.1,87920640,21,22,21,825352192,8346394624,24,25,24,864210944,8126898176
4.8,44462080,2.4,88162304,15,17,13,825356288,8346394624,26,26,25,865153024,8126898176
4.6,44462080,2.3,88186880,23,25,21,824741888,8346394624,23,23,23,870608896,8126898176
3.1,44507136,2,88068096,19,19,19,824406016,8346394624,25,25,25,870875136,8126898176
0.94,44507136,1.4,88076288,12,15,9.6,824320000,8346394624,12,12,11,870764544,8126898176
0.055,44507136,0.6,88162304,4.1,4.8,3.4,824582144,8346394624,3,2.6,3.4,870498304,8126898176
0.0057,44507136,0.29,88076288,4.2,3.8,4.6,824066048,8346394624,2.2,2.6,1.8,870240256,8126898176
0.016,44507136,0.27,88076288,4.1,4.4,3.8,824582144,8346394624,2.8,2.6,3,869724160,8126898176
0.016,44507136,0.25,88076288,5.5,5.7,5.3,823218176,8346394624,2.5,2.6,2.4,869724160,8126898176
