"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","Avg Host CPU Usage","Host CPU 0 Usage","Host CPU 1 Usage","Host Mem Usage","Host Mem Total"
2022-01-12 22:28:40,13,45924352,6.0,87707648,55,58,52,1044742144,8346394624
2022-01-12 22:28:45,11,45936640,6.0,87748608,50,50,49,1047162880,8346394624
2022-01-12 22:28:50,5.8,45936640,3.5,87879680,41,42,39,1046110208,8346394624
2022-01-12 22:28:55,1.2,45936640,1.4,87879680,3.9,3.8,4.0,1045331968,8346394624
2022-01-12 22:29:00,0.013,45936640,0.39,87977984,3.7,3.8,3.6,1044946944,8346394624
2022-01-12 22:29:05,0.011,45936640,0.35,87879680,4.1,4.0,4.2,1044824064,8346394624
2022-01-12 22:29:10,0.012,45936640,0.37,87883776,5.8,5.6,6.0,1045098496,8346394624
2022-01-12 22:29:15,0.012,45936640,0.38,87883776,3.8,4.2,3.4,1044733952,8346394624
2022-01-12 22:29:20,0.013,45936640,0.35,87912448,4.0,3.8,4.2,1044414464,8346394624
2022-01-12 22:29:25,0.013,45936640,0.34,87818240,3.7,3.2,4.2,1043640320,8346394624
2022-01-12 22:29:30,0.41,45940736,0.61,87896064,5.1,4.6,5.6,1043271680,8346394624
2022-01-12 22:29:35,4.5,45416448,2.0,88059904,12,13,10,1041235968,8346394624
2022-01-12 22:29:40,11,45449216,4.0,88334336,55,57,54,1038991360,8346394624
2022-01-12 22:29:45,13,45473792,5.8,88326144,51,54,49,1040138240,8346394624
2022-01-12 22:29:50,12,45477888,7.9,88727552,69,71,68,1042665472,8346394624
2022-01-12 22:29:55,13,42266624,7.1,88780800,69,71,66,1042960384,8346394624
2022-01-12 22:30:00,15,42737664,5.8,88846336,52,53,50,1044754432,8346394624
2022-01-12 22:30:05,12,42917888,6.4,88641536,67,68,65,1049886720,8346394624
2022-01-12 22:30:10,13,42921984,7.0,88805376,71,73,69,1061240832,8346394624
2022-01-12 22:30:15,13,42942464,6.9,88993792,55,58,52,1062363136,8346394624
2022-01-12 22:30:20,12,42967040,5.8,88952832,67,70,65,1070669824,8346394624
2022-01-12 22:30:25,12,42967040,7.1,88899584,69,70,67,1076346880,8346394624
2022-01-12 22:30:30,12,42971136,7.1,89239552,56,58,54,1076834304,8346394624
2022-01-12 22:30:35,12,42971136,5.9,89169920,63,66,60,1080217600,8346394624
2022-01-12 22:30:40,12,43024384,6.8,89452544,69,72,67,1090338816,8346394624
2022-01-12 22:30:45,14,43610112,6.4,89522176,58,60,57,1086779392,8346394624
2022-01-12 22:30:50,13,43921408,7.2,89870336,68,69,66,1092972544,8346394624
2022-01-12 22:30:55,15,45039616,8.1,89939968,72,75,70,1100001280,8346394624
2022-01-12 22:31:00,16,45584384,7.8,89976832,58,59,56,1100091392,8346394624
