Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
5.1,44834816,2.8,86396928,78,82,73,1200623616,8346394624
5.9,44847104,2.8,86421504,71,74,68,1205067776,8346394624
5.5,44847104,3.3,86462464,83,85,81,1226768384,8346394624
4.9,44847104,3.1,86478848,82,85,80,1139179520,8346394624
6.5,44859392,3,86511616,76,79,72,1130008576,8346394624
6.8,44859392,3.5,86536192,90,92,88,1153523712,8346394624
6.3,44867584,3.5,86585344,82,84,80,1168945152,8346394624
6.3,44871680,2.9,86618112,70,73,68,1168412672,8346394624
5,44871680,3.2,86642688,84,87,81,1189306368,8346394624
3.3,44883968,2.8,86659072,78,82,75,1207058432,8346394624
1,44883968,0.98,86630400,12,14,11,1200848896,8346394624
0.014,44883968,0.3,86528000,5.7,5.2,6.2,1201868800,8346394624
0.012,44883968,0.33,86528000,4,4.6,3.4,1201176576,8346394624
0.011,44883968,0.4,86528000,3.9,3.8,4,1201065984,8346394624
0.013,44883968,0.37,86532096,3.9,4.4,3.4,1200750592,8346394624
0.013,44883968,0.32,86532096,3.6,4.4,2.8,1200615424,8346394624
0.012,44883968,0.37,86634496,3.9,4.2,3.6,1200730112,8346394624
0.006,44883968,0.42,86532096,5.6,7,4.2,1201311744,8346394624
0.012,44883968,0.38,86532096,4.4,5,3.8,1200603136,8346394624
0.017,44883968,0.36,86532096,3.4,3.8,3,1199808512,8346394624
0.013,44883968,0.53,86560768,5,4.6,5.4,1198264320,8346394624
0.013,44883968,0.55,86691840,3.6,4,3.2,1196003328,8346394624
1.7,44883968,1.3,86712320,9.3,9.8,8.8,1194614784,8346394624
6.5,44883968,3.1,86630400,25,23,27,1088565248,8346394624
8.8,44920832,4.7,86683648,22,22,22,1088233472,8346394624
9.3,44953600,4.5,86720512,23,24,23,1088532480,8346394624
9.6,44957696,3.9,86671360,27,28,25,1088606208,8346394624
10,44965888,4.5,86589440,22,24,21,1088692224,8346394624
10,44969984,5,86872064,25,26,25,1088966656,8346394624
