Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
6.2,44711936,44711936,3.3,89079808,89079808,18,20,17,828096512,828096512,828096512,8126898176,8126898176,8126898176
6.2,44711936,44711936,3.1,89423872,89423872,16,16,16,828096512,828096512,828096512,8126898176,8126898176,8126898176
3.7,44711936,44711936,1.8,89305088,89305088,5.9,6.6,5.2,828096512,828096512,828096512,8126898176,8126898176,8126898176
0.52,44711936,44711936,0.57,89403392,89403392,4,3.8,4.2,828870656,828870656,828870656,8126898176,8126898176,8126898176
0.0076,44711936,44711936,0.22,89305088,89305088,3.2,3.4,3,827858944,827858944,827858944,8126898176,8126898176,8126898176
0.0085,44711936,44711936,0.21,89403392,89403392,3.7,3.8,3.6,827834368,827834368,827834368,8126898176,8126898176,8126898176
0.0081,44711936,44711936,0.18,89309184,89309184,2.8,3.2,2.4,828866560,828866560,828866560,8126898176,8126898176,8126898176
0.007,44711936,44711936,0.19,89407488,89407488,3.5,3,4,828092416,828092416,828092416,8126898176,8126898176,8126898176
0.69,44711936,44711936,0.49,89444352,89444352,5.6,5,6.2,828092416,828092416,828092416,8126898176,8126898176,8126898176
3.4,44711936,44711936,1.9,89432064,89432064,18,18,18,828092416,828092416,828092416,8126898176,8126898176,8126898176
9.4,44711936,44711936,3.7,89624576,89624576,24,21,27,828092416,828092416,828092416,8126898176,8126898176,8126898176
12,44711936,44711936,4.2,89587712,89587712,26,25,27,827817984,827817984,827817984,8126898176,8126898176,8126898176
9.4,44711936,44711936,4.4,89559040,89559040,23,23,23,828071936,828071936,828071936,8126898176,8126898176,8126898176
9.6,44711936,44711936,4.2,89542656,89542656,23,23,24,827813888,827813888,827813888,8126898176,8126898176,8126898176
9.3,44711936,44711936,4.1,89509888,89509888,23,21,24,828329984,828329984,828329984,8126898176,8126898176,8126898176
8.5,44711936,44711936,4.4,89554944,89554944,23,23,24,829104128,829104128,829104128,8126898176,8126898176,8126898176
8.3,44711936,44711936,4,89698304,89698304,22,23,20,828071936,828071936,828071936,8126898176,8126898176,8126898176
8.5,44711936,44711936,4,89915392,89915392,23,25,20,828071936,828071936,828071936,8126898176,8126898176,8126898176
9,44711936,44711936,3.9,90001408,90001408,23,26,21,827813888,827813888,827813888,8126898176,8126898176,8126898176
