CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
41,51,500,0.2,39.5,2.3,4.797142857,2.183809524,25.57142857,26.3047619,24.78095238,28.30952381,23.62857143,33.00952381,161480899,46072588.19,773941735.6,8346394624,773941735.6,8126898176
45,56,500,0.2,39.5,2.4,5.257142857,2.206190476,27.80952381,26.2952381,29.37142857,30.47619048,29.08571429,32.06666667,161453592.4,46261784.38,774833883.4,8346394624,774833883.4,8126898176
49,61,500,0.2,39.5,2.5,5.204761905,2.168571429,29.53333333,28.94285714,30.2,32.76190476,16.7047619,49.05714286,161273953.5,47231171.05,775496265.1,8346394624,775496265.1,8126898176
53,66,500,0.2,39.5,2.4,4.895238095,2.171428571,31.37142857,32.35238095,30.26666667,35.0047619,16.79047619,53.20952381,161126692.6,47266864.76,775648207.2,8346394624,775648207.2,8126898176
57,71,500,0.2,39.5,2.3,4.494285714,2.221904762,33.14285714,36.28571429,29.9047619,37.77619048,26.92380952,48.42857143,161276099,47246189.71,775946825.1,8346394624,775946825.1,8126898176
61,76,500,0.2,39.5,2.3,4.328571429,2.217142857,34.85714286,34.79047619,34.95238095,40.19047619,16.53333333,63.66666667,161401319.6,46239548.95,775257526.9,8346394624,775257526.9,8126898176
0,0,1000,0.1,77.9,2,7.725,3.515,8.53,8.87,8.21,4.87,4.74,5,161233715.2,44964864,770123161.6,8346394624,770123161.6,8126898176
5,6,1000,0.1,77.9,2,7.404761905,3.4,10.7952381,11.08571429,10.4,7.628571429,7.457142857,7.80952381,161212318.5,44246162.29,772331032.4,8346394624,772331032.4,8126898176
9,11,1000,0.1,77.9,2,7.452380952,3.264761905,12.6952381,11.56190476,13.77142857,9.876190476,9.533333333,10.24761905,161032094.5,44334713.9,772859221.3,8346394624,772859221.3,8126898176
13,16,1000,0.1,77.9,2,7.39047619,3.409047619,14.71428571,13.48571429,15.73333333,12.6,8,17,161006348.2,45104371.81,773724842.7,8346394624,773724842.7,8126898176
17,21,1000,0.1,77.9,2,7.485714286,3.49047619,16.38095238,15.91428571,16.88571429,14.71904762,13.22857143,16.33333333,161095485,44635282.29,773104591.2,8346394624,773104591.2,8126898176
21,26,1000,0.1,77.9,2.1,8.623809524,3.426190476,18.95238095,19.01904762,18.88571429,17.24285714,15.99047619,18.36190476,161135664.8,45130703.24,773931983.2,8346394624,773931983.2,8126898176
25,31,1000,0.1,77.9,2.2,8.70952381,3.495238095,20.89047619,19.9047619,21.97142857,19.24761905,18.94285714,19.86666667,160725284.6,43227233.52,771645245,8346394624,771645245,8126898176
29,36,1000,0.1,77.9,2.1,8.523809524,3.354285714,22.66190476,24.58095238,20.6047619,21.9047619,20.26666667,23.68571429,161171553.5,43968999.62,773086451.8,8346394624,773086451.8,8126898176
33,41,1000,0.1,77.9,2.1,7.723809524,3.541428571,24.03333333,24.62857143,23.61904762,23.97619048,16.52380952,31.71428571,160847774.5,44125817.9,774931992.4,8346394624,774931992.4,8126898176
37,46,1000,0.1,77.9,2.1,7.723809524,3.473333333,26.01904762,26.26666667,25.74285714,26.80952381,19.80952381,33.78095238,160796867,44330812.95,774837199.2,8346394624,774837199.2,8126898176
41,51,1000,0.1,77.9,2.1,7.576190476,3.557142857,27.66666667,30.33333333,25.13333333,29.02380952,24.8,33.25714286,160848749.7,45010553.9,776016652.2,8346394624,776016652.2,8126898176
45,56,1000,0.1,77.9,2.1,7.566666667,3.461904762,29.54285714,28.22857143,30.78095238,31.42857143,20.16190476,42.7047619,160879372.2,44487631.24,775332425.1,8346394624,775332425.1,8126898176
49,61,1000,0.1,77.9,2.1,7.561904762,3.48952381,31.47619048,28.33333333,34.44761905,33.66666667,30.9047619,36.58095238,161232993.5,44098901.33,774589098.7,8346394624,774589098.7,8126898176
