CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
61,76,1333,0.075,108.2,2.2,10.13285714,4.561904762,38.76190476,43.00952381,34.52380952,41.42857143,34.6952381,48.16190476,191078400,46360088.38,777640813.7,8346394624,777640813.7,8126898176
0,0,2000,0.05,154.3,2,14.73333333,5.833333333,13.55714286,13.54285714,13.59047619,6.438095238,6.219047619,6.657142857,191519597.7,49077296.76,776615838.5,8346394624,776615838.5,8126898176
5,6,2000,0.05,154.3,2,13.58095238,5.783333333,15.12857143,15.14285714,15.4,9.471428571,8.295238095,10.55238095,192609523.8,48915407.24,780467443.8,8346394624,780467443.8,8126898176
9,11,2000,0.05,154.3,2,13.5,5.990952381,17.16666667,17.66666667,16.52380952,11.87142857,13.53333333,10.00952381,195471652.6,48726406.1,780578816,8346394624,780578816,8126898176
13,16,2000,0.05,154.3,2.1,14.57619048,5.961904762,19.44761905,18.86666667,20.16190476,13.84285714,18.44761905,9.285714286,196591811,50939806.48,783042072.4,8346394624,783042072.4,8126898176
17,21,2000,0.05,154.3,2,13.84761905,5.738095238,20.93333333,21.91428571,19.85714286,16.44761905,17.53333333,15.43809524,196283440.8,50453942.86,782272219.4,8346394624,782272219.4,8126898176
21,26,2000,0.05,154.3,2,13.3952381,5.82047619,22.4047619,23.47619048,21.40952381,18.85714286,19.96190476,17.8,195552207.2,49814771.81,781380851.8,8346394624,781380851.8,8126898176
25,31,2000,0.05,154.3,2,13.72380952,5.901904762,24.57142857,26.65714286,22.57142857,21.2047619,25.2,17.33333333,195382710.9,48949735.62,780574720,8346394624,780574720,8126898176
29,36,2000,0.05,154.3,2.1,14.36666667,6.008095238,26.76190476,28.53333333,24.97142857,23.3952381,25.40952381,21.3047619,195337654.9,49242892.19,780996803,8346394624,780996803,8126898176
33,41,2000,0.05,154.3,2.2,13.6,5.709090909,27.45454545,26.84545455,27.83636364,24.78181818,29.14545455,20.59090909,195427979.6,49619130.18,782085026.9,8346394624,782085026.9,8126898176
37,46,2000,0.05,154.3,2.1,13.93333333,5.836666667,30.38095238,30.23809524,30.47619048,28.23809524,28.66666667,27.79047619,195304691.8,48856502.86,781198092.2,8346394624,781198092.2,8126898176
41,51,2000,0.05,154.3,2.1,13.88571429,6.077142857,32.04761905,31.28571429,32.71428571,30.61428571,36.51428571,24.83809524,195518269,48898828.19,781285863.6,8346394624,781285863.6,8126898176
45,56,2000,0.05,154.3,2.1,13.83809524,6.057142857,33.9952381,38.57142857,29.28571429,32.91904762,34.33333333,31.55238095,195465996.2,50010794.67,782206098.3,8346394624,782206098.3,8126898176
49,61,2000,0.05,154.3,2.2,14.11428571,5.923809524,35.76190476,38.5047619,32.92380952,35.33333333,32.80952381,37.80952381,195615597.7,49428772.57,781597354.7,8346394624,781597354.7,8126898176
53,66,2000,0.05,154.3,2.2,14.42857143,6.033333333,37.85714286,33.27619048,42.42857143,37.66666667,25.55238095,49.95238095,195698883,48469528.38,782565571,8346394624,782565571,8126898176
57,71,2000,0.05,154.3,2.2,14.43333333,6.135238095,39.71428571,38.42857143,40.80952381,40.38571429,25.57142857,55.28571429,195968243.8,49417069.71,783463765.3,8346394624,783463765.3,8126898176
61,76,2000,0.05,154.3,2.2,14.25714286,6.1,41.41904762,42.2,40.80952381,42.15238095,39.55238095,44.75238095,195883593.1,49761913.9,784283160.4,8346394624,784283160.4,8126898176
0,0,1333,0.075,108.2,2,11.26842105,4.489473684,10.99473684,10.87368421,11.05263158,5.568421053,5.189473684,5.947368421,196415056.8,46533578.11,777195520,8346394624,777195520,8126898176
